measure,sens_attr,is_fair,counts
accuracy_parity,Right Handed Bat | Right-hand bat,True,1866.0
accuracy_parity,Left Handed Bat | Left-hand bat,True,409.0
accuracy_parity,Left Handed Bat | Right-hand bat,True,1.0
accuracy_parity,Left-hand bat | Right Handed Bat,True,1.0
statistical_parity,Right Handed Bat | Right-hand bat,True,1866.0
statistical_parity,Left Handed Bat | Left-hand bat,True,409.0
statistical_parity,Left Handed Bat | Right-hand bat,False,1.0
statistical_parity,Left-hand bat | Right Handed Bat,True,1.0
true_positive_rate_parity,Right Handed Bat | Right-hand bat,True,1866.0
true_positive_rate_parity,Left Handed Bat | Left-hand bat,True,409.0
true_positive_rate_parity,Left Handed Bat | Right-hand bat,False,1.0
true_positive_rate_parity,Left-hand bat | Right Handed Bat,True,1.0
false_positive_rate_parity,Right Handed Bat | Right-hand bat,True,1866.0
false_positive_rate_parity,Left Handed Bat | Left-hand bat,True,409.0
false_positive_rate_parity,Left Handed Bat | Right-hand bat,True,1.0
false_positive_rate_parity,Left-hand bat | Right Handed Bat,True,1.0
negative_predictive_value_parity,Right Handed Bat | Right-hand bat,True,1866.0
negative_predictive_value_parity,Left Handed Bat | Left-hand bat,True,409.0
negative_predictive_value_parity,Left Handed Bat | Right-hand bat,True,1.0
negative_predictive_value_parity,Left-hand bat | Right Handed Bat,False,1.0
positive_predictive_value_parity,Right Handed Bat | Right-hand bat,True,1866.0
positive_predictive_value_parity,Left Handed Bat | Left-hand bat,True,409.0
positive_predictive_value_parity,Left Handed Bat | Right-hand bat,False,1.0
positive_predictive_value_parity,Left-hand bat | Right Handed Bat,True,1.0
