measure,sens_attr,is_fair,counts
accuracy_parity,inproceedings,True,143.0
accuracy_parity,article,True,139.0
accuracy_parity,other,True,17.0
accuracy_parity,incollection,True,26.0
statistical_parity,inproceedings,True,143.0
statistical_parity,article,True,139.0
statistical_parity,other,False,17.0
statistical_parity,incollection,True,26.0
true_positive_rate_parity,inproceedings,True,143.0
true_positive_rate_parity,article,True,139.0
true_positive_rate_parity,other,False,17.0
true_positive_rate_parity,incollection,True,26.0
false_positive_rate_parity,inproceedings,True,143.0
false_positive_rate_parity,article,True,139.0
false_positive_rate_parity,other,True,17.0
false_positive_rate_parity,incollection,True,26.0
negative_predictive_value_parity,inproceedings,True,143.0
negative_predictive_value_parity,article,True,139.0
negative_predictive_value_parity,other,True,17.0
negative_predictive_value_parity,incollection,True,26.0
positive_predictive_value_parity,inproceedings,True,143.0
positive_predictive_value_parity,article,True,139.0
positive_predictive_value_parity,other,False,17.0
positive_predictive_value_parity,incollection,True,26.0
